id_produto,nome_produto,categoria,preco_venda,custo_unitario
P0456,Item SKU Industrial 456,Eletrônicos,48.16,24.54
P0457,Item SKU Industrial 457,Metalmecânica,100.34,53.79
P0458,Item SKU Industrial 458,Químicos,32.77,15.87
P0459,Item SKU Industrial 459,Eletrônicos,39.11,18.18
P0460,Item SKU Industrial 460,Eletrônicos,113.48,68.83
P0461,Item SKU Industrial 461,Metalmecânica,91.43,46.0
P0462,Item SKU Industrial 462,Plásticos,379.49,184.26
P0463,Item SKU Industrial 463,Embalagens,77.51,45.6
P0464,Item SKU Industrial 464,Plásticos,140.34,80.5
P0465,Item SKU Industrial 465,Químicos,160.06,92.3
P0466,Item SKU Industrial 466,Eletrônicos,11.98,5.94
P0467,Item SKU Industrial 467,Metalmecânica,173.39,86.09
P0468,Item SKU Industrial 468,Metalmecânica,39.41,19.47
P0469,Item SKU Industrial 469,Embalagens,496.9,240.87
P0470,Item SKU Industrial 470,Plásticos,34.14,19.84
P0471,Item SKU Industrial 471,Embalagens,90.33,55.97
P0472,Item SKU Industrial 472,Eletrônicos,23.38,13.91
P0473,Item SKU Industrial 473,Embalagens,875.21,532.49
P0474,Item SKU Industrial 474,Metalmecânica,114.63,60.86
P0475,Item SKU Industrial 475,Metalmecânica,145.72,84.64
P0476,Item SKU Industrial 476,Químicos,20.41,10.63
P0477,Item SKU Industrial 477,Químicos,217.92,120.97
P0478,Item SKU Industrial 478,Eletrônicos,45.34,24.77
P0479,Item SKU Industrial 479,Plásticos,352.5,171.1
P0480,Item SKU Industrial 480,Embalagens,44.44,23.44
P0481,Item SKU Industrial 481,Eletrônicos,41.74,26.83
P0482,Item SKU Industrial 482,Químicos,15.59,7.79
P0483,Item SKU Industrial 483,Embalagens,105.82,50.45
P0484,Item SKU Industrial 484,Químicos,134.81,71.95
P0485,Item SKU Industrial 485,Embalagens,20.2,12.28
P0486,Item SKU Industrial 486,Plásticos,234.1,132.6
P0487,Item SKU Industrial 487,Eletrônicos,100.58,58.96
P0488,Item SKU Industrial 488,Embalagens,121.47,59.27
P0489,Item SKU Industrial 489,Metalmecânica,97.18,55.76
P0490,Item SKU Industrial 490,Metalmecânica,86.81,44.68
P0491,Item SKU Industrial 491,Embalagens,133.02,82.05
P0492,Item SKU Industrial 492,Embalagens,35.31,20.33
P0493,Item SKU Industrial 493,Embalagens,40.12,19.65
P0494,Item SKU Industrial 494,Metalmecânica,306.84,142.04
P0495,Item SKU Industrial 495,Metalmecânica,448.14,205.48
P0496,Item SKU Industrial 496,Embalagens,80.1,41.99
P0497,Item SKU Industrial 497,Químicos,57.36,28.86
P0498,Item SKU Industrial 498,Químicos,164.92,95.52
P0499,Item SKU Industrial 499,Plásticos,88.82,48.84
P0500,Item SKU Industrial 500,Eletrônicos,13.86,6.97
